unix,low,high,open,close,volume,date,time,vol_fiat
1630540800,48620.73,50392.19,48834.27,49279.37,14120.3826407,2021-09-02,2021-09-02,695843560.6926324
1630454400,46537.62,49125.0,47110.33,48839.86,13010.83839478,2021-09-01,2021-09-01,635447525.6836799
1630368000,46708.93,48259.68,46996.8,47112.5,12919.43970212,2021-08-31,2021-08-31,608667102.9661285
1630281600,46866.0,48906.51,48802.58,46993.71,12249.23741495,2021-08-30,2021-08-30,575637110.79931
1630195200,47801.0,49667.1,48942.89,48802.58,6935.09511006,2021-08-29,2021-08-29,338450533.9163119
1630108800,48370.0,49309.83,49081.08,48942.94,4895.70191319,2021-08-28,2021-08-28,239610044.99514338
1630022400,46361.01,49185.12,46851.47,49077.57,8924.12247655,2021-08-27,2021-08-27,437974245.53145593
1629936000,46315.48,49365.1,48991.57,46851.47,11651.34373853,2021-08-26,2021-08-26,545882581.6254262
1629849600,47122.02,49277.0,47682.45,48987.33,9289.23177109,2021-08-25,2021-08-25,455054662.2168703
1629763200,47600.0,49875.9,49504.53,47682.45,12068.33823315,2021-08-24,2021-08-24,575447934.3852632
1629676800,49012.84,50505.0,49284.38,49506.5,10824.26838095,2021-08-23,2021-08-23,535871642.60150117
1629590400,48102.89,49526.13,48870.21,49284.63,6243.39643384,2021-08-22,2021-08-22,307703483.18512386
1629504000,48285.28,49821.92,49349.99,48867.02,9574.83615164,2021-08-21,2021-08-21,467893709.71891487
1629417600,46644.95,49400.0,46769.02,49342.4,13184.67048641,2021-08-20,2021-08-20,650563285.0086367
1629331200,43955.0,47088.08,44709.1,46765.87,11938.12185013,2021-08-19,2021-08-19,558296654.4873391
1629244800,44216.47,46035.27,44675.34,44707.98,10327.49887365,2021-08-18,2021-08-18,461721613.09316677
1629158400,44405.39,47174.62,45903.22,44671.58,12756.14777945,2021-08-17,2021-08-17,569837276.0215231
1629072000,45676.91,48076.52,47014.38,45902.46,10467.66031475,2021-08-16,2021-08-16,480491358.8913993
1628985600,45525.19,47400.0,47109.64,47014.49,7745.70200802,2021-08-15,2021-08-15,364160229.5990362
1628899200,46034.93,48176.52,47833.64,47109.65,8130.36769388,2021-08-14,2021-08-14,383018776.4299939
1628812800,44249.64,47953.9,44422.15,47833.64,11794.94196257,2021-08-13,2021-08-13,564195007.6584668
1628726400,43714.36,46223.95,45553.1,44422.14,13169.78176994,2021-08-12,2021-08-12,585029889.5537225
1628640000,45350.74,46781.09,45601.82,45553.49,11628.32043954,2021-08-11,2021-08-11,529710578.859381
1628553600,44650.27,46718.44,46280.0,45595.66,13756.50066875,2021-08-10,2021-08-10,627236727.2820977
1628467200,42821.3,46497.42,43829.15,46285.48,19464.72493503,2021-08-09,2021-08-09,900934136.6858325
1628380800,43131.97,45363.83,44628.11,43829.14,18712.27158173,2021-08-08,2021-08-08,820142770.8736657
1628294400,42457.27,44750.0,42869.59,44637.34,19634.79475606,2021-08-07,2021-08-07,876445009.3564672
1628208000,39876.74,43399.26,40888.73,42869.58,20425.1145444,2021-08-06,2021-08-06,875616081.9703194
1628121600,37300.0,41447.89,39718.9,40888.74,28507.85532682,2021-08-05,2021-08-05,1165650284.415958
1628035200,37509.0,39965.1,38189.4,39722.41,15327.67624669,2021-08-04,2021-08-04,608852240.2182814
1627948800,37627.21,39785.3,39149.59,38191.44,15094.81739624,2021-08-03,2021-08-03,576492812.8994563
1627862400,38690.0,40459.68,39859.18,39149.59,12379.41216528,2021-08-02,2021-08-02,484648910.7117242
1627776000,39426.0,42605.64,41499.0,39865.41,10617.67293456,2021-08-01,2021-08-01,423277884.7821376
1627689600,41064.11,42414.61,42233.66,41495.01,9351.94288576,2021-07-31,2021-07-31,388058963.56404006
1627603200,38342.0,42320.57,40039.44,42237.95,15063.2344059,2021-07-30,2021-07-30,636240141.6746839
1627516800,39229.47,40644.85,40035.1,40039.44,11022.42512817,2021-07-29,2021-07-29,441331729.57385504
1627430400,38803.34,40925.56,39475.99,40035.1,27198.33358111,2021-07-28,2021-07-28,1088888004.753097
1627344000,36413.26,39550.0,37262.76,39470.48,24709.10440908,2021-07-27,2021-07-27,975280211.396504
1627257600,35251.54,40593.93,35428.25,37262.77,40354.54555841,2021-07-26,2021-07-26,1503722149.5975533
1627171200,33888.89,35451.04,34291.67,35428.26,9434.63002297,2021-07-25,2021-07-25,334252525.4575871
1627084800,33424.7,34525.0,33647.27,34283.01,9864.75243703,2021-07-24,2021-07-24,338193406.44622386
1626998400,32000.0,33647.27,32287.75,33647.26,9004.84262627,2021-07-23,2021-07-23,302988281.1051895
